© 2000-2023 QIAGEN. All rights reserved.

Diseases and Bio Functions	WT.Adult.CtrlRescue.vs.WT.Adult.Alone.sig2 - 2023-02-07 03:42 PM	HD.Neonatal.Rescue.vs.HD.Neonatal.Alone.sig - 2022-12-10 05:35 PM	WT.Adult.Alone.vs.HD.Neonatal.Alone.sig - 2022-12-10 05:36 PM	WT.Adult.Alone.vs.WT.Neonatal.Alone.sig - 2022-12-10 05:36 PM	WT.Neonatal.CtrlRescue.vs.WT.Neonatal.Alone.sig - 2022-12-10 05:36 PM	WT.Adult.Rescue.vs.WT.Adult.Alone.sig - 2022-12-10 05:35 PM	WT.Adult.CtrlRescue.vs.WT.Neonatal.CtrlRescue.sig - 2022-12-10 05:35 PM	WT.Adult.Rescue.vs.HD.Neonatal.Rescue.sig - 2022-12-10 05:35 PM
Nonsquamous non-small cell lung carcinoma	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Upper aero-digestive squamous cell carcinoma	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Abnormal growth in endometrium	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Bladder tumor	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Chorea	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Chronic kidney disease	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Differentiation of hair shaft progenitor cells	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Chemoresistant acute myeloid leukemia	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Delay in cytokinesis of lung cancer cell lines	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Metastatic carcinoma	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Familial mitochondrial disorder	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Gastric adenocarcinoma	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Abnormal morphology of cerebrum	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Scar tissue	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Homologous recombination repair of cervical cancer cell lines	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Osteolytic bone disease	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Dyskinesia	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Extrapulmonary small cell carcinoma	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Abnormality of peripheral ganglia	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Gastroesophageal adenocarcinoma	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Argyrophilic grain disease	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Nonaka myopathy	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Morphology of neuroglia	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Malabsorption	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Formation of spliceosomes	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Size of cells	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Uterine cancer	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Androgen receptor signaling pathway	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Degeneration of supporting cell layer of inner ear	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
G1 phase of colorectal cancer cell lines	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Abnormal quantity of white adipose tissue	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Angiogenesis of bone marrow	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Abnormal morphology of brain	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Morphology of actin stress fibers	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
G1 phase of uterine cell lines	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Hypogonadotropic hypogonadism 19 without anosmia	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Degeneration of elastic lamina	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Malignant connective or soft tissue neoplasm	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Delta plus thalassemia	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Accumulation of M1-like macrophages	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Arrest in interphase of lung cancer cell lines	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Polyneuropathy	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Refractory tumor	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Deficiency of motor neurons	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Area of right common carotid artery	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Active stage bursitis	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Abnormal morphology of cochlear nucleus	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Follicular thyroid tumor	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Ovarian carcinoma	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Development of Henle's loop	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Differentiation of cervical cancer cell lines	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
De Sanctis-Cacchione syndrome	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Hepatitis B surface antigen-negative hepatitis C virus negative hepatocellular carcinoma	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
High grade endometrial cancer	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Mood Disorders	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Thyroid gland tumor	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Solitary thyroid nodule	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Metastatic non-small cell lung carcinoma	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Adenocarcinoma of the small bowel	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Cognitive flexibility	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Cognitive stability	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Proliferation of myometrial cells	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Prepulse inhibition	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Entry into G1 phase of sarcoma cell lines	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Morphology of hippocampus	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Waldenström macroglobulinemia	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Recognition of neurons	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Mitochondrial complex I deficiency	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Autosomal recessive spinocerebellar ataxia type 11	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Density of excitatory synapses	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Axial spondyloarthritis	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Pancreatic lesion	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Oral cavity carcinoma	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Size of brain	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Aortic valve disease	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Familial neurodevelopmental disorder	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Benign cold thyroid nodule	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Interphase of lung cancer cell lines	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
T-cell leukemia	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Adenosquamous ovarian carcinoma	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Recurrent myoglobinuria	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Quantity of lymphoma cell lines	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Delay in initiation of repopulation of adipocytes	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Rheumatoid arthritis	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Movement of rodents	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Formation of ribosome	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Invasion of hepatocellular carcinoma	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Size of hepatocytes	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Kindling	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Mental retardation	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Development of spiral ganglion cells	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Arrest in G0/G1 phase transition of hematopoietic progenitor cells	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Active stage ankylosing spondylitis	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Primary dysmenorrhea	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Contact repulsion of axons	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
G1 phase of lung cell lines	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Constitutional bone marrow failure syndrome	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Abnormal morphology of stem cells	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Pelvic serous carcinoma	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Catecholamine-secreting tumor	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Innervation of tissue	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Quantity of 2-arachidonoylglycerol	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Development of pontine nucleus	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Temporomandibular joint disorder	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Infiltrating ductal carcinoma	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Arrest in interphase of sarcoma cell lines	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Gastric carcinoma	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Formation of squamosal bone	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Differentiation of skeletal muscle fibers	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Clustering of phosphatidylinositol 4,5-diphosphate	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Dilation of ureter	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Kidney clear cell tumor	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Onset of motor neuron disease	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Nuclear type 1 mitochondrial complex iv deficiency	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Intellectual disability and congenital malformations	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Morphology of head	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Congenital mental retardation	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Adenocarcinoma in right upper lobe of lung	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Neddylation of protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Thyroid gland adenocarcinoma	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Mitochondrial encephalomyopathy	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Abnormal morphology of neurites	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Esophageal adenocarcinoma	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Ingestion of cells	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Stabilization of plasma membrane	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Familial motor neuron disease	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Uterine corpus endometrioid carcinoma	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Plasma cell dyscrasia	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Metastatic lung carcinoma	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Morphology of brain cells	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Brain atrophy	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Abnormal morphology of cerebral cortex	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Growth of Candida parapsilosis ATCC 90018	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Pelvic adenocarcinoma	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Acetylation of protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Psoriasis	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Invasive carcinoma	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Hypotonic syndrome	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Hyperexcitation of sensory neurons	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Bone pain	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Loss of brain cells	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Mixed neoplasia	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Syndromic X-linked mental retardation	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Abnormal morphology of sensory epithelium	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Stage I non-small cell lung carcinoma	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Endoplasmic reticulum stress response of tumor cell lines	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Morphology of axons	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Grade 3 malignant glioma	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Conjugation of bone marrow-derived dendritic cells	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Female genital tract adenocarcinoma	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Diabetic nephropathy	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Arrest in G2 phase	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Delay in cytokinesis of carcinoma cell lines	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Hemangioblastoma	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Interphase of bone cancer cell lines	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Refolding of protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Degeneration of sensory axons	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Peyronie disease	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Abnormal morphology of cochlear duct	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Diaphragmatic hernia 3	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Upper aerodigestive tract carcinoma	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Autosomal dominant encephalopathy	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Stage I-II non-small cell lung cancer	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Formation of rhombencephalon	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Chronic obstructive pulmonary disease	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Autosomal dominant mental retardation	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Small intestine carcinoma	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Diapedesis of macrophages	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Arrest in G1 phase of tumor cell lines	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Chemorepulsion	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Morphology of cardiovascular system	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Loss of neurons	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Dementia	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Diamond-Blackfan anemia	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Area of synaptic spine	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Neurocutaneous syndrome	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Refractory myeloid leukemia	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Uterine smooth muscle tumor	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Ovarian cancer	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Elongation of sensory axons	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Accumulation of milk fat globules	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Abnormal morphology of head	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Small B-cell lymphocytic lymphoma	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Familial skewed X inactivation	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Benign thyroid nodule	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Formation of synaptic vesicles	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
CADASIL 2	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
X linked autism	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Childhood-onset neurodegeneration with ataxia, tremor, optic atrophy and cognitive decline	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Urothelial transitional cell carcinoma	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Metabolism of ribonucleotide	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Congenital anemia	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Abnormal morphology of axons	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Abnormal morphology of suprachiasmatic nucleus	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
PANDAS syndrome	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Morphology of forebrain	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Charcot-Marie-Tooth disease type 2	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Lower respiratory tract disorder	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Uterine corpus cancer	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Oncogene-induced senescence of fibroblast cell lines	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Uterine carcinoma	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Formation of cerebellum	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
HELIX syndrome	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Bockenheimer disease	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Nuclear type 1 mitochondrial complex I deficiency	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Invasive ductal breast carcinoma	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Myelopoiesis of hematopoietic cells	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Hepatitis B virus-related hepatocellular carcinoma	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Development of outer medullary collecting duct	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Endometrial adenocarcinoma	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Closure of wound	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Reduced kidney function	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Ankle sprain	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Abnormal morphology of cerebellum	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Severe psychological disorder	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Morphology of cerebral cortex	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Pervasive developmental disorder	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Homeostasis of metal ion	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Homeostasis of transition metal ion	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Shape-induced differentiation of keratinocytes	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Creutzfeldt-Jakob disease	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Attachment of thyroid tumor cell lines	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Familial psychiatric disease	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Size of neurons	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Healing of dermal fibroblasts	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Neuronal migration disorder	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Schizophrenia	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Cytotoxicity of cyclosporin A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Amyotrophic lateral sclerosis	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
CARASIL syndrome	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Indolent non-Hodgkin lymphoma	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Familial dementia	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Benign pelvic disease	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Huntington Disease	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Morphology of nervous tissue	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Female genital tract cancer	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Grade 3-4 glioma cancer	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Formation of hyaluronan cable-like structure	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Morphology of neurites	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Morphology of reticulocytes	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Delay in G1/S phase transition of chondrocytes	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Projection of axons	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Resorptive capacity of osteoclasts	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Rett Syndrome	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Autosomal recessive hereditary arthro-ophthalmopathy	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Elimination of motor neurons	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Atrophoderma vermiculatum	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Chronic pulmonary disease	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Quantity of neurites	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0.0
Overriding aorta	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Arrest in G2 phase of lung cancer cell lines	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Frontotemporal dementia	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Advanced Dupuytren contracture	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Urothelial cancer	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Refractory leukemia	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Autosomal dominant neuropathy	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Synaptic transmission of cerebral cortex cells	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Morphology of thyroid tumor cell lines	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Quantity of autophagic vacuoles	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Synaptic transmission of intercellular junctions	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Development of macula densa	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Invasive cancer of the upper aerodigestive tract	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Dysgerminoma	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Adipogenesis of fibroblasts	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
